id;isbn;title;author;publisher;publication_date;language;pages;description;cover_image;available_for_loan
1;suddenly posh;confused mockingly exonerate;rusty ha mechanically;however;2026-07-15;whether circa beard;8231;../fake-data/blob/hipster.txt;tectonics;false
2;outnumber behind gadzooks;testimonial pish outlaw;via firm;toothpick complication;2026-07-15;over though;6098;../fake-data/blob/hipster.txt;nasalise busy;false
3;gastropod defiantly;extremely;plugin;above obnoxiously who;2026-07-15;although before;5526;../fake-data/blob/hipster.txt;cellar apropos;true
4;below;trusting;um amongst physical;minus oh;2026-07-14;beside;17288;../fake-data/blob/hipster.txt;dock reflate yahoo;false
5;common what righteously;yippee cycle;vice unaccountably against;snoop;2026-07-15;intermesh ornery;7398;../fake-data/blob/hipster.txt;cycle painfully near;true
6;excepting general;trust;frightfully insistent fervently;instead foot urgently;2026-07-15;than awkwardly;23698;../fake-data/blob/hipster.txt;waft kookily yippee;false
7;plus carefree altruistic;exempt wobbly upright;yeast until if;gee as;2026-07-15;roughly;20110;../fake-data/blob/hipster.txt;astride climb;false
8;apud mid ick;whoa;overload consequently;in fairly;2026-07-15;huzzah yearningly;19902;../fake-data/blob/hipster.txt;worriedly;true
9;however per educated;lest;majestically;recent fidget;2026-07-15;hmph majestically dirty;21583;../fake-data/blob/hipster.txt;right merry;false
10;fluffy;spew bah till;versus underneath ick;woefully;2026-07-15;CD;9373;../fake-data/blob/hipster.txt;furthermore mid;false
11;possession patroller that;crafty whether;willing terrorise;failing overconfidently;2026-07-15;violin;20757;../fake-data/blob/hipster.txt;each sniveling uh-huh;false
12;major onto whoever;during ew;eek;overconfidently;2026-07-14;ultimately;1868;../fake-data/blob/hipster.txt;after;true
13;whole or lava;scrabble;onto endow in;mobility;2026-07-15;where geez on;6615;../fake-data/blob/hipster.txt;provided;true
14;jovially cop sudden;enfold;across;worriedly daintily;2026-07-15;unless;28459;../fake-data/blob/hipster.txt;gladly;true
15;furthermore;before prime bitterly;designation;till upright uneven;2026-07-14;whereas continually;23151;../fake-data/blob/hipster.txt;with despite;true
16;reboot;psst how always;geez since when;lively egg generally;2026-07-14;even discourse;595;../fake-data/blob/hipster.txt;except dish next;true
17;misread;instead coolly even;yearly;who rot;2026-07-15;psst bah daddy;6955;../fake-data/blob/hipster.txt;upward;false
18;imaginary preheat;so;excluding wear;possession soggy rosemary;2026-07-15;excitedly modulo;24977;../fake-data/blob/hipster.txt;innovate but;true
19;tooth;rosemary failing oddly;unto tribe yuck;phooey;2026-07-15;yowza section without;2173;../fake-data/blob/hipster.txt;tomorrow eek;false
20;mid multicolored;although;a;throughout;2026-07-15;knowingly;28327;../fake-data/blob/hipster.txt;oddball which made-up;false
21;yuck;ack;digitize dramatize glimmer;lender;2026-07-15;lovely;12921;../fake-data/blob/hipster.txt;verve;false
22;valuable;gasp;crossly;cluttered rejigger ah;2026-07-15;remark tempting;5207;../fake-data/blob/hipster.txt;woot crazy onto;true
23;thump;indeed old;musty;slime indeed;2026-07-14;mature intensely;17754;../fake-data/blob/hipster.txt;metabolise save worthy;true
24;oh wherever silver;conversation;angrily gah sans;um aw unless;2026-07-15;yet till provided;6328;../fake-data/blob/hipster.txt;psst punctually incidentally;false
25;disconnection;and;inasmuch although;beret valentine with;2026-07-14;until however;23491;../fake-data/blob/hipster.txt;uh-huh quantify;false
26;yahoo afore;important bleakly;slope oxidize pressure;healthily under beret;2026-07-15;treble;2694;../fake-data/blob/hipster.txt;circumnavigate ouch;false
27;frizz destock dense;speedy;knowledgeable gad;meanwhile behind;2026-07-14;stormy usually save;18545;../fake-data/blob/hipster.txt;where;false
28;mmm;pfft bitter design;even gadzooks beyond;until snappy;2026-07-15;doubtfully oddly mmm;2274;../fake-data/blob/hipster.txt;pixellate since almighty;true
29;whether;glass politely;rich;versus gently times;2026-07-15;ick apud insist;9450;../fake-data/blob/hipster.txt;incidentally zealous near;false
30;whack along whoever;aha;boiling;populist;2026-07-15;diligently meh;21142;../fake-data/blob/hipster.txt;unlike;false
