id;name;description
1;whopping unwieldy trusting;geez qua incinerate
2;accept but outfox;moment
3;minus;really woot
4;harmful;dilate er wasabi
5;first;severe which technician
6;crowded;expatiate
7;attend gee brr;through secrecy physically
8;possible as gosh;marathon
9;sharply spirit rarely;boastfully energetically
10;screw muddy;toward
11;or polyester;bob
12;neatly atop intent;rundown
13;reproachfully odd only;forenenst bleakly when
14;swing colorless after;hm present
15;unselfish costume;um brandish
16;drat incidentally bracelet;during once
17;consequently severe;scrutinise
18;pleased;finally
19;intent;yum
20;which blah;optimistically successfully
21;medium seriously;because oily joyfully
22;tensely;phew guide
23;bind fork yum;suffice dandelion
24;nervous whether shout;yippee against
25;reassuringly and hovercraft;quicker
26;slink;boo
27;politely;ferret until
28;aw;discrete haunting extricate
29;some;individual enthusiastically till
30;gosh immediately;provided as
