id;loan_date;due_date;return_date;renewals;notes;status
1;2026-07-15T00:47:24;2026-07-14T18:54:58;2026-07-15T05:51:20;13656;round;ACTIVE
2;2026-07-14T16:21:27;2026-07-15T01:48:27;2026-07-14T19:15:50;32480;anti gape;OVERDUE
3;2026-07-15T11:25:56;2026-07-15T03:51:52;2026-07-15T09:11:56;16527;whereas mortally through;LOST
4;2026-07-15T10:04:20;2026-07-15T01:18:01;2026-07-15T05:35:04;16610;like representation;ACTIVE
5;2026-07-14T16:54:40;2026-07-15T00:59:22;2026-07-14T14:23:03;14044;politely given winding;ACTIVE
6;2026-07-15T13:30:34;2026-07-15T07:15:25;2026-07-15T04:19:19;31557;amidst embossing;ACTIVE
7;2026-07-14T21:56:32;2026-07-14T16:20:43;2026-07-14T16:10:24;8278;victoriously;LOST
8;2026-07-15T12:10:53;2026-07-15T10:06:52;2026-07-15T01:53:15;27193;while bolster alongside;LOST
9;2026-07-15T02:25:03;2026-07-14T23:56:53;2026-07-15T02:49:33;6036;gah ick fashion;RETURNED
10;2026-07-15T12:06:35;2026-07-14T20:26:06;2026-07-14T21:01:02;20584;given;LOST
11;2026-07-14T22:11:40;2026-07-14T17:23:12;2026-07-15T01:16:13;30713;how jungle whenever;LOST
12;2026-07-15T01:18:07;2026-07-15T06:10:23;2026-07-15T06:44:52;14873;unlearn;OVERDUE
13;2026-07-14T23:56:31;2026-07-14T20:12:24;2026-07-14T15:25:48;3670;bah afore;RETURNED
14;2026-07-14T20:28:02;2026-07-15T04:08:21;2026-07-14T16:53:12;2803;lest useless;ACTIVE
15;2026-07-14T15:48:39;2026-07-14T16:35:03;2026-07-14T20:20:01;17356;within next;RETURNED
16;2026-07-14T14:25:31;2026-07-15T01:11:57;2026-07-14T18:41:36;6447;creamy;OVERDUE
17;2026-07-15T00:57:37;2026-07-15T10:49:27;2026-07-15T08:22:53;1313;flood;LOST
18;2026-07-15T06:07:49;2026-07-15T00:21:51;2026-07-14T22:34:39;20768;awesome weird;OVERDUE
19;2026-07-15T08:12:33;2026-07-14T19:20:21;2026-07-14T23:37:15;6409;uh-huh sunder quietly;LOST
20;2026-07-15T12:31:16;2026-07-15T04:54:30;2026-07-14T22:19:51;22456;meanwhile aw;LOST
21;2026-07-15T10:14:42;2026-07-15T02:41:15;2026-07-14T15:38:53;12482;around supposing;LOST
22;2026-07-14T22:35:25;2026-07-15T02:45:47;2026-07-14T16:06:52;20110;instructive;LOST
23;2026-07-14T17:11:42;2026-07-14T16:42:39;2026-07-15T04:01:18;3440;frank interior provision;RETURNED
24;2026-07-14T19:12:11;2026-07-15T02:19:11;2026-07-14T22:54:01;24102;a;OVERDUE
25;2026-07-14T14:24:19;2026-07-15T00:59:01;2026-07-14T20:03:07;22627;yahoo which;OVERDUE
26;2026-07-14T17:25:54;2026-07-15T09:54:05;2026-07-14T23:10:11;23141;rotten;ACTIVE
27;2026-07-15T09:45:09;2026-07-15T04:06:40;2026-07-15T11:57:54;3287;lifestyle polyester;OVERDUE
28;2026-07-15T08:01:20;2026-07-14T17:15:12;2026-07-15T01:00:11;17810;on around;LOST
29;2026-07-14T20:45:35;2026-07-15T04:44:02;2026-07-15T00:15:47;19027;scoff;OVERDUE
30;2026-07-15T08:44:05;2026-07-14T16:57:00;2026-07-15T02:37:55;13966;understated familiar;RETURNED
