id;reservation_date;expiration_date;queue_position;status
1;2026-07-14T22:09:42;2026-07-14T20:29:29;20170;COMPLETED
2;2026-07-14T19:22:29;2026-07-15T05:06:35;30467;COMPLETED
3;2026-07-15T00:16:23;2026-07-14T23:36:14;14768;READY
4;2026-07-15T07:54:57;2026-07-14T15:01:34;23699;READY
5;2026-07-14T23:36:49;2026-07-15T10:03:02;8092;EXPIRED
6;2026-07-15T03:36:15;2026-07-14T18:54:55;18711;READY
7;2026-07-14T19:28:59;2026-07-14T20:17:40;13222;READY
8;2026-07-15T06:01:53;2026-07-15T08:19:20;16413;CANCELLED
9;2026-07-15T10:05:08;2026-07-14T19:25:25;4560;PENDING
10;2026-07-14T19:25:34;2026-07-15T07:06:33;20368;PENDING
11;2026-07-15T12:44:03;2026-07-15T03:31:21;30661;CANCELLED
12;2026-07-15T03:41:56;2026-07-14T16:52:23;21496;PENDING
13;2026-07-15T03:23:00;2026-07-15T12:09:23;6634;COMPLETED
14;2026-07-14T20:14:33;2026-07-14T16:54:14;9202;READY
15;2026-07-15T09:25:30;2026-07-14T17:46:40;13899;CANCELLED
16;2026-07-14T16:39:10;2026-07-15T04:01:54;4882;PENDING
17;2026-07-15T06:32:34;2026-07-14T17:50:24;13404;CANCELLED
18;2026-07-14T20:30:20;2026-07-15T00:10:06;30142;EXPIRED
19;2026-07-15T12:40:29;2026-07-15T04:21:18;16199;PENDING
20;2026-07-15T08:07:40;2026-07-15T13:10:10;28189;COMPLETED
21;2026-07-14T15:41:18;2026-07-15T13:37:18;2512;COMPLETED
22;2026-07-14T23:45:55;2026-07-14T19:35:34;4791;PENDING
23;2026-07-14T23:18:49;2026-07-14T15:23:10;5892;CANCELLED
24;2026-07-15T06:51:01;2026-07-15T00:58:04;4287;READY
25;2026-07-14T20:12:32;2026-07-14T23:15:25;9146;EXPIRED
26;2026-07-15T07:20:10;2026-07-14T19:29:13;18759;PENDING
27;2026-07-14T14:41:10;2026-07-15T08:22:54;23067;EXPIRED
28;2026-07-15T08:40:54;2026-07-14T19:54:48;14401;EXPIRED
29;2026-07-15T02:41:37;2026-07-15T13:15:08;17540;READY
30;2026-07-14T21:28:25;2026-07-14T20:47:44;12264;COMPLETED
